method,accuracy,macro_precision,macro_recall,macro_f1,training_seconds,tagging_seconds
Default Tagger,0.30251591391330707,0.02520965949277559,0.08333333333333333,0.038709176945155535,4.5900000259280205e-05,0.021386300039011985
Unigram Tagger,0.9271496413054461,0.928520663660437,0.8578601612667037,0.881516076020416,0.22640749998390675,0.021462799981236458
Bigram Tagger,0.9309891886430232,0.9448001884046552,0.8569770749895335,0.8852556866352294,0.49578789999941364,0.03330990002723411
Trigram Tagger,0.929776700010104,0.9407664253801088,0.851832586042217,0.8812474325526592,0.3525546999881044,0.046054799982812256
Averaged Perceptron Tagger,0.932403758714762,0.8628064435386392,0.8453023188013021,0.8440120173393207,0.0,0.858164899982512
